North Beach/Greenwood, 68260
North Gate/Lake City, 67000
Ballard, 78000
Fremont/Phinney Ridge, 78700
Olympic Hills, 65000
University District, 25000
Magnolia, 63570
Queen Anne/Cascade, 101300
Capitol Hill/Seattle Metro, 115843
Downtown, 43000
Central Seattle, 75881
West Seattle, 76320
Delridge, 69423
Georgetown, 60128
Beacon Hill, 68579
Rainier Valley, 58321
Tukwila, 49805
Renton, 38679
Snoqualmie, 84837
Burien, 52376
Federal Way, 42847
Kent, 42400
Auburn, 23000
Issaquah,  65885
Bellevue, 89500
Redmond, 112703
Kirkland, 113540
Shoreline, 72639
Edmonds, 77357
Lynnwood, 65833
Mountlake Terrace, 75066
Newcastle, 109722
Fairwood, 67396
Mercer Island, 81250
Bainbridge Island, 95976
