Neighborhood,AQI
Georgetown,59
Beacon Hill,35
Downtown,61
Bainbridge Island, 53
Lynnwood, 53
Kirkland, 72
North Beach/Greenwood,
North Gate/Lake City,
Ballard,
Fremont/Phinney Ridge,
Olympic Hills,
University District,
Magnolia,
Queen Anne/Cascade,
Capitol Hill/Seattle Metro,
Central Seattle,
West Seattle,
Delridge,
Rainier Valley,
Tukwila,
Renton,
Snoqualmie,
Burien,
Federal Way,
Kent,
Auburn,
Issaquah,
Bellevue,
Redmond,
Shoreline,
Edmonds,
Mountlake Terrace,
Newcastle,
Fairwood,
Mercer Island,

