Neighborhood,Political Leaning
North Beach/Greenwood,1
North Gate/Lake City,1
Ballard,0
Fremont/Phinney Ridge,1
Olympic Hills,1
University District,1
Magnolia,0
Queen Anne/Cascade,1
Capitol Hill/Seattle Metro,1
Downtown,1
Central Seattle,1
West Seattle,1
Delridge,1
Georgetown,1
Beacon Hill,1
Rainier Valley,0
Tukwila,1
Renton,1
Snoqualmie,-1
Burien,1
Federal Way,0
Kent,0
Auburn,0
Issaquah,
Bellevue,1
Redmond,1
Kirkland,1
Shoreline,1
Edmonds,1
Lynnwood,1
Mountlake Terrace,0
Newcastle,1
Fairwood,0
Mercer Island,1
Bainbridge Island,1


